AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
53,24,53Cr,,-55287.62,0.12,564.03,29,4.0,1.0,5.0
61,24,61Cr,,-42496.5,1.9,70.8,37,4.0,9.0,13.0
58,24,58Cr,,-51991.8,3.0,880.7,34,4.0,6.0,10.0
56,24,56Cr,,-55285.1,0.6,1006.61,32,4.0,4.0,8.0
60,25,60Mn,m,-52696.0,2.3,271.8,35,3.0,7.0,10.0
59,25,59Mn,,-55525.3,2.3,112.1,34,3.0,6.0,9.0
61,25,61Mn,,-51742.1,2.3,157.1,36,3.0,8.0,11.0
58,25,58Mn,,-55827.6,2.7,71.77,33,3.0,5.0,8.0
56,25,56Mn,,-56911.67,0.29,26.6045,31,3.0,3.0,6.0
57,25,57Mn,,-57486.3,1.5,83.19,32,3.0,4.0,7.0
52,25,52Mn,i,-47785.0,5.0,377.749,27,3.0,1.0,4.0
50,25,50Mn,,-42626.89,0.12,225.28,25,3.0,3.0,6.0
51,25,51Mn,i,-43792.6,1.5,237.3,26,3.0,2.0,5.0
49,25,49Mn,,-37619.9,2.2,261.38,24,3.0,4.0,7.0
48,25,48Mn,,-29297.0,7.0,313.3,23,3.0,3.0,6.0
46,25,46Mn,,-12420.0,90.0,5017.0,21,3.0,1.0,4.0
55,25,55Mn,,-57712.54,0.26,125.949,30,3.0,2.0,5.0
54,25,54Mn,i,-49411.9,2.8,54.88,29,3.0,1.0,4.0
47,25,47Mn,i,-15191.0,17.0,6870.0,22,3.0,2.0,5.0
64,25,64Mn,,-42989.0,4.0,40.2,39,3.0,11.0,14.0
53,25,53Mn,i,-47717.0,4.0,377.89,28,3.0,0.0,3.0
68,26,68Fe,,-43900.0,190.0,522.0,42,2.0,8.0,10.0
