AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
16,8,16O,17984,4,6.0493999999999994,8,0.0,0.0,,,0.0,6.3496042078727974,22.223614727554793,0.0,0.0,0.0
18,8,18O,15495,20,1.98207,10,0.0,2.0,,,2.0,6.868285455319991,21.367999194328863,0.2222222222222222,0.0,0.0
18,8,18O,-782.8163,0.0006,,10,0.0,2.0,,,2.0,6.868285455319991,21.367999194328863,0.2222222222222222,0.0,0.0
11,8,11O,47740,60,0.49,3,0.0,1.0,,,1.0,4.9460874432487,25.18008152926612,2.272727272727273,0.0,1.0
12,8,12O,32013,12,1.62,4,0.0,2.0,,,2.0,5.241482788417793,24.46025301261637,1.3333333333333333,0.0,0.0
17,8,17O,10270.02,0.17,0.870756,9,0.0,1.0,,,1.0,6.611489018457944,21.779022649037937,0.058823529411764705,0.0,1.0
16,8,16O,8059,4,,8,0.0,0.0,,,0.0,6.3496042078727974,22.223614727554793,0.0,0.0,0.0
15,8,15O,2855.6,0.5,,7,0.0,1.0,,,1.0,6.082201995573399,22.706887450140698,0.06666666666666667,0.0,1.0
17,8,17O,-808.7642,0.0006,,9,0.0,1.0,,,1.0,6.611489018457944,21.779022649037937,0.058823529411764705,0.0,1.0
16,8,16O,-4737.0021,0.0003,,8,0.0,0.0,,,0.0,6.3496042078727974,22.223614727554793,0.0,0.0,0.0
16,8,16O,8231.6,0.27,,8,0.0,0.0,,,0.0,6.3496042078727974,22.223614727554793,0.0,0.0,0.0
16,9,16F,10675,5,0.193,7,1.0,1.0,,,2.0,6.3496042078727974,28.57321893542759,0.25,1.0,1.0
21,9,21F,-47.6,1.8,0.27993,12,1.0,4.0,,,5.0,7.611662611020244,26.097128952069415,0.42857142857142855,1.0,0.0
26,9,26F,18670,110,0.6434,17,1.0,3.0,,,4.0,8.776382955329126,24.303829722449894,2.4615384615384617,1.0,1.0
18,9,18F,1914.7,0.5,0.9372,9,1.0,1.0,,,2.0,6.868285455319991,27.473141821279967,0.0,1.0,1.0
15,9,15F,16567,14,1.52,6,1.0,2.0,,,3.0,6.082201995573399,29.194569578752326,0.6,1.0,0.0
22,9,22F,2793,12,0.07165,13,1.0,5.0,,,6.0,7.851424410539689,25.695570798129896,0.7272727272727273,1.0,1.0
24,9,24F,7540,100,0.5215,15,1.0,5.0,,,6.0,8.320335292207616,24.96100587662285,1.5,1.0,1.0
14,9,14F,31960,40,0.54,5,1.0,3.0,,,4.0,5.808785733563703,29.873755201184768,1.1428571428571428,1.0,1.0
23,9,23F,3290,30,2.246,14,1.0,6.0,,,7.0,8.087579399090064,25.31763985802107,1.0869565217391304,1.0,0.0
25,9,25F,11330,100,3.3,16,1.0,4.0,,,5.0,8.549879733383484,24.623653632144435,1.96,1.0,0.0
18,9,18F,1994.5,0.5,,9,1.0,1.0,,,2.0,6.868285455319991,27.473141821279967,0.0,1.0,1.0
26,9,26F,19310,110,,17,1.0,3.0,,,4.0,8.776382955329126,24.303829722449894,2.4615384615384617,1.0,1.0
28,9,28F,33400,120,0.59,19,1.0,1.0,,,2.0,9.220872584116892,23.710815216300585,3.5714285714285716,1.0,1.0
31,9,31F, 56840.0, 540.0,,22,1.0,2.0,,,3.0,9.868272403218972,22.919858484895684,5.451612903225806,1.0,0.0
13,9,13F, 42030.0, 500.0,,4,1.0,2.0,,,3.0,5.528774813678871,30.620906660375294,1.9230769230769231,1.0,0.0
18,9,18F,873.1,0.5,,9,1.0,1.0,,,2.0,6.868285455319991,27.473141821279967,0.0,1.0,1.0
19,9,19F,-1487.4451,0.0008,0.109894,10,1.0,2.0,,,3.0,7.1203673589019925,26.982444728470714,0.05263157894736842,1.0,0.0
19,9,19F,6052.2,0.9,,10,1.0,2.0,,,3.0,7.1203673589019925,26.982444728470714,0.05263157894736842,1.0,0.0
29,9,29F,40150,530,,20,1.0,0.0,,,1.0,9.43913067739236,23.43508306111207,4.172413793103448,1.0,0.0
30,9,30F, 48960.0, 500.0,,21,1.0,1.0,,,2.0,9.654893846056297,23.171745230535116,4.8,1.0,1.0
17,9,17F,13144.7,1.9,0.49533,8,1.0,0.0,,,1.0,6.611489018457944,28.001600548763065,0.058823529411764705,1.0,0.0
17,9,17F,1951.7,0.25,,8,1.0,0.0,,,1.0,6.611489018457944,28.001600548763065,0.058823529411764705,1.0,0.0
20,9,20F,-17.463,0.03,0.6560199999999999,11,1.0,3.0,,,4.0,7.368062997280773,26.525026790210784,0.2,1.0,1.0
20,9,20F,6503,3,,11,1.0,3.0,,,4.0,7.368062997280773,26.525026790210784,0.2,1.0,1.0
27,9,27F,25130,120,0.777,18,1.0,2.0,,,3.0,8.999999999999998,24.0,3.0,1.0,0.0
32,10,32Ne, 37000.0, 500.0,0.722,22,2.0,2.0,,,4.0,10.079368399158984,28.34822362263465,4.5,0.0,0.0
31,10,31Ne,31180,270,,21,2.0,1.0,,,3.0,9.868272403218972,28.649823106119605,3.903225806451613,0.0,1.0
34,10,34Ne, 52840.0, 510.0,,24,2.0,4.0,,,6.0,10.49508462297634,27.781106354937375,5.764705882352941,0.0,0.0
26,10,26Ne,481,18,2.018,16,2.0,4.0,,,6.0,8.776382955329126,30.379787153062367,1.3846153846153846,0.0,0.0
28,10,28Ne,11300,130,,18,2.0,2.0,,,4.0,9.220872584116892,29.638519020375732,2.2857142857142856,0.0,0.0
29,10,29Ne,18400,150,0.232,19,2.0,1.0,,,3.0,9.43913067739236,29.293853826390087,2.793103448275862,0.0,1.0
24,10,24Ne,-5951.6,0.5,1.9815999999999998,14,2.0,6.0,,,8.0,8.320335292207616,31.201257345778565,0.6666666666666666,0.0,0.0
23,10,23Ne,-5154.05,0.1,1.016926,13,2.0,5.0,,,7.0,8.087579399090064,31.647049822526338,0.391304347826087,0.0,1.0
27,10,27Ne,7050,90,0.765,17,2.0,3.0,,,5.0,8.999999999999998,30.0,1.8148148148148149,0.0,1.0
25,10,25Ne,-2036,29,1.7027999999999999,15,2.0,5.0,,,7.0,8.549879733383484,30.779567040180545,1.0,0.0,1.0
