n,z,firstExcitedStateEnergy(keV)
84,72,857.2
85,72,111
86,72,476.36
87,72,98.87
88,72,389.4
89,72,126.8
90,72,285
91,72,107.1
92,72,210.7
93,72,76.4
94,72,158.64
95,72,92.2
96,72,124.1
97,72,28.8
98,72,100.74
99,72,21.93
100,72,95.22
101,72,69.73
102,72,90.985
103,72,81.4
104,72,88.349
105,72,112.9498
106,72,93.1803
107,72,122.7904
108,72,93.324
109,72,45.763
110,72,97.79
111,72,68.57
112,72,107.1
83,73,102
84,73,22
85,73,141
86,73,64
92,73,60
94,73,94.66
95,73,178.43
98,73,31.2
99,73,3.2
102,73,36.405
104,73,70.48
106,73,30.7
107,73,39.54
108,73,6.237
109,73,16.273
110,73,73.164
111,73,47.9
112,73,164.5
115,73,99
83,74,318
84,74,913
86,74,609.9
88,74,449.5
89,74,102
90,74,331.9
91,74,43
92,74,252
94,74,199.3
96,74,156.72
97,74,101.86
98,74,123.2
100,74,113
101,74,75.02
102,74,108.3
103,74,79.49
104,74,105.9
105,74,119.9127
106,74,103.561
107,74,113.4
108,74,100.10598
109,74,46.4838
110,74,111.2174
111,74,23.547
112,74,122.63
113,74,77.289
114,74,143.16
116,74,206.8
118,74,219
85,75,50
86,75,123.8
87,75,173
88,75,115
90,75,48
93,75,89.7
96,75,157.09
98,75,87.1
100,75,75.7
104,75,65.35
105,75,20.1
106,75,117.96
108,75,114.475
109,75,56
110,75,125.3587
111,75,59.01
112,75,134.244
113,75,63.5959
114,75,125
115,75,119.12
116,75,27
117,75,160.1
119,75,285
86,76,706.7
87,76,623.7
88,76,548
89,76,95.2
90,76,432
91,76,87.1
92,76,341.2
94,76,286.7
95,76,76.7
96,76,227.77
97,76,91.6
98,76,158.6
99,76,90.32
100,76,135.1
101,76,75.6
102,76,132.2
103,76,86.31
104,76,132.11
105,76,49.2
106,76,126.89
107,76,96.39
108,76,119.77
109,76,37.45
110,76,137.159
111,76,9.756
112,76,155.043
113,76,30.82
114,76,186.718
115,76,74.382
116,76,205.79442
117,76,41.4844
118,76,218.509
119,76,438.6
120,76,324.4
122,76,465.4
88,77,180
89,77,172
90,77,175.3
92,77,153
96,77,71.1
97,77,193
101,77,54.4
103,77,80.4
104,77,24.89
105,77,8.1
106,77,15.8
107,77,11.6
108,77,5.8
110,77,106.478
111,77,54.81
112,77,94.34
114,77,82.423
115,77,12.984
116,77,73.041
117,77,43.119
118,77,69.181
119,77,126.2
120,77,52
121,77,116.4
90,78,581.4
92,78,509.2
93,78,89.5
94,78,457.6
96,78,394.2
98,78,264
99,78,81.2
100,78,170.3
101,78,71.4
102,78,153.24
103,78,79.41
104,78,154.97
105,78,34.74
106,78,162.98
107,78,94.79
108,78,191.53
109,78,9.27
110,78,265.61
111,78,6.4
112,78,295.78
113,78,9.547
114,78,316.50645
115,78,1.642
116,78,328.473
117,78,98.88
118,78,355.6841
119,78,53.088
120,78,407.22
121,78,32
122,78,470.1
123,78,374.2
124,78,534.9
125,78,367
126,78,872
91,79,285
92,79,259
94,79,214
98,79,24.9
104,79,12.4
