Z,N,A,MthFL,FirstExc,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
21,30,51,-42.77,861.62,1.0,2.0,3.0,13.752451353579682,113.25548173536211,1.588235294117647,1.0,0.0
21,32,53,-36.51,2109.0,1.0,4.0,5.0,14.109682667364165,111.81257962816888,2.2830188679245285,1.0,0.0
21,33,54,-31.45,110.0,1.0,5.0,6.0,14.286609467713793,111.11807363777396,2.6666666666666665,1.0,1.0
22,19,41,-17.23,1623.0,2.0,1.0,3.0,11.890202136872691,133.98227773744352,0.21951219512195122,0.0,1.0
22,20,42,-26.96,1554.6,2.0,0.0,2.0,12.082761235960547,132.91037359556606,0.09523809523809523,0.0,0.0
22,21,43,-31.19,313.0,2.0,1.0,3.0,12.273797969521459,131.87196888183524,0.023255813953488372,0.0,1.0
22,22,44,-38.98,1083.06,2.0,2.0,4.0,12.463359368739502,130.8652733717648,0.0,0.0,0.0
22,23,45,-40.65,36.53,2.0,3.0,5.0,12.651489979526238,129.8886304564694,0.022222222222222223,0.0,1.0
22,24,46,-45.22,889.2860000000001,2.0,4.0,6.0,12.838232045991905,128.94050446191872,0.08695652173913043,0.0,0.0
22,25,47,-46.42,159.371,2.0,3.0,5.0,13.023625676689214,128.0194694176685,0.19148936170212766,0.0,1.0
22,26,48,-50.14,983.5310000000001,2.0,2.0,4.0,13.207708995578505,127.12419908244314,0.3333333333333333,0.0,0.0
