15,60,15C,,,,,,9873.1,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.449,,s,0.005,,1/2+,,,,,,,,,,2,,,,,,,,,,1950,B-=100,,,,,,,,,,,,,,,,,,,,
15,70,15N,,,,,,,101.4381,,,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1/2-*,,,,,,,,,2,,,,,,,,,,1929,IS=0.3795,247,,,,,,,,,,,,,,,,,,
15,78,15N,,i,,11717,,,,,,,,,,4,,,,,,,11615,,,,,,,,,,4,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,1/2+,,,,T=3/2,2,,,,,,,,,,,,,,,n,?;p,?;IT=0.00523,19,,,,,,,,,,,,,
15,80,15O,,,,,,2855.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.266,,s,0.043,,1/2-*,,,,,,,,,2,,,,,,,,,,1934,B+=100,,,,,,,,,,,,,,,,,,,,,,,
15,88,15O,,i,,14020#,,,,,,,,40#,,,,,,11165#,,,,,,,,35#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1/2+),,T=3/2,2,,,,,,,,,,,,,,,p=100,,,,,,,,,,,,,,,,,,,,,,
15,90,15F,,,,,16567,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,zs,0.3,,,,1/2+,,,,,,,,,,16,,,,,,,,,,1978,p=100,,,,,,,,,,,,,,,
15,100,15Ne,,,,40220,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2p,,,770,,,,,ys,300,,,,(3/2-),,,,,,,,14,,,,,,,,,,2014,2p=100,,,,,,,,,,,,,,,,,,,,
16,40,16Be,,,,57450,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,ys,130,,,,0+,,,,,,,,,,,,15,,,,,,,,,,2012,2n=100,,,,,,,,,,,,,,,
16,50,16B,,,,,37112,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>4.6,,,zs,,,,,,,,0-#,,,,,,,,,,,16,,,,,,,,,,2000,n,?,,,,,,,,,,,
16,60,16C,,,,,13694,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,ms,6,,,,,,0+,,,,,,,,,,,,99,,,,,,,,,,1961,B-=100;B-n=99.0,3,,,,,,,,,
16,70,16N,,,,,,5683.9,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,,,s,0.02,,,2-,,,,,,,,,,,,99,,,,,,,,,,1933,B-=100;B-A=0.00154,5,,,,,,,,,,,,,,,
16,71,16N,,m,,,5804.3,,,,,,,,2.3,,,,,,,120.42,,,,,,,0.12,,,,,,,,,,,5.25,,us,0.06,,,0-,,,,,,T=1,,,99,,,,,,,,,,1957,IT~100;B-=0.000389,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,78,16N,,i,,15613,,,,,,,,,,7,,,,,,,,9929,,,,,,,,,,7,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,
