index,Z,N,A,MthFL,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
450,18,42,60,56.63,2.0,8.0,10.0,15.32618864787106,78.16356210414241,9.6,0.0,0.0
451,18,43,61,65.83,2.0,7.0,9.0,15.496010072571343,77.73408331486608,10.245901639344263,0.0,1.0
452,18,44,62,74.13,2.0,6.0,8.0,15.664905993978548,77.31389087350705,10.903225806451612,0.0,0.0
453,18,45,63,83.85,2.0,5.0,7.0,15.832896263712227,76.90263899517369,11.571428571428571,0.0,1.0
454,18,46,64,91.29,2.0,4.0,6.0,15.999999999999998,76.50000000000001,12.25,0.0,0.0
455,18,47,65,101.25,2.0,3.0,5.0,16.166235625781553,76.10566309983317,12.938461538461539,0.0,1.0
456,18,48,66,108.93,2.0,2.0,4.0,16.331620904278438,75.71933328347276,13.636363636363637,0.0,0.0
457,18,49,67,119.19,2.0,1.0,3.0,16.496172972233907,75.34073029109815,14.343283582089553,0.0,1.0
458,18,50,68,127.33,2.0,0.0,2.0,16.659908371007916,74.96958766953563,15.058823529411764,0.0,0.0
459,18,51,69,138.44,2.0,1.0,3.0,16.82284307569508,74.60565190090864,15.782608695652174,0.0,1.0
460,18,52,70,147.6,2.0,2.0,4.0,16.984992522418104,74.24868159799917,16.514285714285716,0.0,0.0
461,18,53,71,159.07,2.0,3.0,5.0,17.146371633935342,73.89844676034106,17.253521126760564,0.0,1.0
462,18,54,72,168.83,2.0,4.0,6.0,17.306994843688898,73.55472808567782,18.0,0.0,0.0
463,18,55,73,179.52,2.0,5.0,7.0,17.466876118408518,73.21731633195901,18.753424657534246,0.0,1.0
464,18,56,74,190.02,2.0,6.0,8.0,17.626028979376553,72.8860117255301,19.513513513513512,0.0,0.0
465,18,57,75,201.51,2.0,7.0,9.0,17.784466522450312,72.56062341159729,20.28,0.0,1.0
466,18,58,76,211.91,2.0,8.0,10.0,17.942201436929967,72.24096894342856,21.05263157894737,0.0,0.0
467,18,59,77,223.95,2.0,9.0,11.0,18.099246023352887,71.92687380709071,21.83116883116883,0.0,1.0
468,18,60,78,234.93,2.0,10.0,12.0,18.25561221028858,71.61817097882444,22.615384615384617,0.0,0.0
469,18,61,79,248.37,2.0,11.0,13.0,18.41131157020244,71.31470051242972,23.40506329113924,0.0,1.0
470,18,62,80,259.74,2.0,12.0,14.0,18.566355334451114,71.01630915427553,24.2,0.0,0.0
471,18,63,81,272.88,2.0,13.0,15.0,18.720754407467133,70.72284998376475,25.0,0.0,1.0
472,18,64,82,283.89,2.0,14.0,16.0,18.874519380186243,70.4341820772804,25.804878048780488,0.0,0.0
473,18,65,83,297.57,2.0,15.0,17.0,19.027660542766455,70.15017019381368,26.6144578313253,0.0,1.0
474,19,10,29,60.91,1.0,2.0,3.0,9.43913067739236,111.31664454028234,2.793103448275862,1.0,0.0
475,19,11,30,47.43,1.0,3.0,4.0,9.654893846056297,110.0657898450418,2.1333333333333333,1.0,1.0
505,19,41,60,35.88,1.0,9.0,10.0,15.32618864787106,87.35927529286506,8.066666666666666,1.0,1.0
506,19,42,61,42.29,1.0,8.0,9.0,15.496010072571343,86.87926958720328,8.672131147540984,1.0,0.0
507,19,43,62,50.78,1.0,7.0,8.0,15.664905993978548,86.40964274097847,9.290322580645162,1.0,1.0
