AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
18,10,18Ne,,5317.6,0.4,1887.3,8,2.0,0.0,2.0,6.868285455319991,34.34142727659996,0.2222222222222222,0.0,0.0
16,10,16Ne,,23987.0,20.0,1770.0,6,2.0,2.0,4.0,6.3496042078727974,35.716523669284484,1.0,0.0,0.0
21,10,21Ne,i,3129.0,0.3,350.727,11,2.0,3.0,5.0,7.611662611020244,32.62141119008677,0.047619047619047616,0.0,1.0
20,10,20Ne,,-7041.9322,0.0015,1633.674,10,2.0,2.0,4.0,7.368062997280773,33.15628348776348,0.0,0.0,0.0
19,10,19Ne,,1752.05,0.16,238.27,9,2.0,1.0,3.0,7.1203673589019925,33.72805591058839,0.05263157894736842,0.0,1.0
17,10,17Ne,,16500.5,0.4,1288.0,7,2.0,1.0,3.0,6.611489018457944,35.00200068595383,0.5294117647058824,0.0,1.0
15,10,15Ne,,40220.0,70.0,1900.0,5,2.0,3.0,5.0,6.082201995573399,36.4932119734404,1.6666666666666667,0.0,1.0
26,11,26Na,,-6861.0,4.0,82.2,15,3.0,5.0,8.0,8.776382955329126,37.130850964854005,0.6153846153846154,1.0,1.0
20,11,20Na,i,13348.9,1.2,596.0,9,3.0,1.0,4.0,7.368062997280773,40.524346485044255,0.2,1.0,1.0
30,11,30Na,,8475.0,5.0,150.62,19,3.0,1.0,4.0,9.654893846056297,35.40127743553976,2.1333333333333333,1.0,1.0
25,11,25Na,,-9357.8,1.2,89.53,14,3.0,6.0,9.0,8.549879733383484,37.61947082688734,0.36,1.0,0.0
27,11,27Na,,-5518.0,4.0,62.9,16,3.0,4.0,7.0,8.999999999999998,36.666666666666664,0.9259259259259259,1.0,0.0
19,11,19Na,,12929.0,11.0,120.0,8,3.0,0.0,3.0,7.1203673589019925,41.2231794462747,0.47368421052631576,1.0,0.0
28,11,28Na,,-988.0,10.0,55.2,17,3.0,3.0,6.0,9.220872584116892,36.224856580459225,1.2857142857142858,1.0,1.0
31,11,31Na,,12246.0,14.0,375.0,20,3.0,0.0,3.0,9.868272403218972,35.01645046303507,2.6129032258064515,1.0,0.0
32,11,32Na,,18640.0,40.0,569.0,21,3.0,1.0,4.0,10.079368399158984,34.64782887210902,3.125,1.0,1.0
21,11,21Na,,-2184.86,0.04,331.9,10,3.0,2.0,5.0,7.611662611020244,39.87061367677272,0.047619047619047616,1.0,0.0
29,11,29Na,,2680.0,7.0,72.0,18,3.0,2.0,5.0,9.43913067739236,35.80359912114344,1.6896551724137931,1.0,0.0
